              BCC-CSM2-MR     BCC-ESM1      CAMS-CSM1-0     CESM2-WACCM      CESM2        CNRM-CM6-1     CNRM-ESM2-1    CanESM5       E3SM-1-0       EC-Earth3-Veg   EC-Earth3      GFDL-CM4      GFDL-ESM4    GISS-E2-1-G    GISS-E2-1-H  HadGEM3-GC31-LL  IPSL-CM6A-LR    MCM-UA-1-0      MIROC-ES2L       MIROC6     MPI-ESM1-2-HR   MRI-ESM2-0        NESM3      NorESM2-LM     SAM0-UNICON   UKESM1-0-LL
   126           4.76           5.00           4.14           6.51           7.29           6.76           6.11           7.90           8.49           7.40           6.93           5.81           4.07           4.10           4.82           7.72           7.09           5.12           4.10           4.02           4.95           4.85           6.83           4.07           5.56           7.55
   127           4.79           4.95           4.16           6.48           7.20           6.69           6.41           7.91           8.28           7.34           7.17           5.91           4.08           4.29           4.89           7.77           7.23           5.16           4.25           4.03           4.94           4.74           7.04           3.87           5.61           7.50
   128           4.70           5.04           4.19           6.61           7.25           6.47           6.22           8.02           8.46           7.14           6.93           5.76           4.25           4.36           5.07           7.79           7.40           5.16           3.94           4.17           4.96           4.79           6.85           3.71           5.49           7.61
   129           4.70           4.98           4.08           6.56           7.43           6.71           6.21           7.78           8.59           7.20           6.98           5.75           4.14           4.06           4.94           7.75           7.07           5.17           3.98           3.80           4.91           4.82           6.87           3.99           5.57           7.66
   130           4.86           4.95           4.20           6.59           7.43           6.82           6.32           7.81           8.43           7.35           7.27           5.59           4.16           4.06           4.98           7.86           7.01           5.34           4.37           3.86           4.80           4.87           7.09           4.14           5.56           7.61
   131           4.90           4.97           3.98           6.58           7.35           6.69           6.38           7.93           8.40           7.44           7.17           5.78           4.29           4.31           5.03           7.80           7.12           5.21           4.24           4.02           4.77           4.82           6.93           3.94           5.46           7.46
   132           4.92           5.10           3.97           6.48           7.50           6.72           6.30           8.03           8.45           7.24           7.02           5.79           4.35           4.23           4.84           7.82           7.05           5.31           3.98           4.19           4.83           4.85           6.83           4.19           5.56           7.66
   133           5.04           5.10           4.16           6.59           7.46           6.88           6.12           7.87           8.66           7.32           7.09           5.90           4.23           4.26           5.02           7.91           7.18           5.27           4.14           3.99           4.80           4.73           6.88           4.33           5.54           7.59
   134           4.81           5.09           4.04           6.53           7.45           6.86           6.21           7.96           8.53           7.46           7.08           5.55           4.25           4.31           5.08           7.69           7.42           5.29           4.27           3.93           4.88           4.98           6.85           3.96           5.55           7.68
   135           4.93           5.07           4.11           6.56           7.69           6.78           6.22           7.81           8.31           7.33           7.17           5.66           4.36           4.31           4.81           7.78           7.19           5.20           4.13           3.90           4.96           4.87           6.80           4.01           5.36           7.87
   136           4.86           5.06           4.12           6.56           7.58           6.88           6.32           7.97           8.49           7.33           7.06           5.73           4.28           4.15           5.05           7.87           7.03           5.33           4.00           4.18           4.81           4.91           7.04           4.19           5.73           7.74
   137           4.90           4.98           4.11           6.67           7.48           6.82           6.28           8.07           8.63           7.38           7.09           6.05           4.33           4.13           5.08           7.82           7.35           5.36           4.06           4.21           4.78           5.00           7.15           3.88           5.71           7.82
   138           4.93           5.02           4.12           6.71           7.48           6.80           6.41           7.90           8.67           7.54           7.26           5.96           4.18           4.13           4.85           7.78           7.35           5.43           4.37           3.89           4.81           5.06           6.95           3.97           5.59           7.77
   139           4.88           5.01           4.19           6.79           7.64           6.62           6.40           8.05           8.75           7.21           7.11           5.74           4.17           4.34           4.96           7.83           7.24           5.36           4.07           3.86           4.86           4.89           6.97           4.16           5.69           7.71
   140           4.91           5.01           4.03           6.80           7.60           6.72           6.25           8.06           8.63           7.12           7.07           5.87           4.17           4.34           5.18           7.86           7.10           5.18           3.98           4.14           4.91           5.02           7.05           3.90           5.58           7.78
   141           4.95           4.98           4.15           6.73           7.68           6.58           6.50           8.22           8.62           7.41           7.00           5.93           4.30           4.23           4.89           7.96           7.07           5.08           4.17           4.20           4.90           4.91           6.92           4.23           5.59           7.68
   142           5.00           4.98           4.17           6.81           7.60           6.58           6.28           7.99           8.77           7.48           7.19           5.82           4.48           4.31           4.97           7.89           7.03           5.07           4.34           3.86           4.83           4.98           6.96           4.22           5.52           7.75
   143           5.00           5.08           4.05           6.70           7.67           6.74           6.34           8.07           8.77           7.33           7.30           5.75           4.42           4.34           5.15           8.05           6.98           5.14           3.97           3.84           5.09           4.99           6.95           4.03           5.59           7.94
   144           4.78           5.16           4.28           6.72           7.73           6.59           6.50           8.14           8.91           7.29           7.38           5.87           4.29           4.09           4.93           7.75           7.25           5.21           3.88           4.03           5.04           4.99           6.91           4.29           5.81           7.79
   145           4.97           5.07           4.19           6.83           7.69           6.61           6.40           8.10           8.64           7.47           7.48           5.86           4.34           4.27           5.11           7.80           7.38           5.30           4.17           4.18           4.95           4.81           7.14           4.21           5.96           7.77
   146           5.10           5.07           4.14           6.81           7.63           6.70           6.26           7.91           8.67           7.55           7.00           5.86           4.30           4.52           5.17           7.93           7.26           5.13           4.28           3.95           4.91           5.01           7.06           3.93           5.58           7.66
   147           5.08           5.05           3.97           6.78           7.65           6.66           6.33           8.14           8.88           7.43           7.07           5.78           4.25           4.45           4.99           7.89           7.24           5.21           4.15           4.00           5.03           4.99           7.09           4.01           5.64           7.68
   148           5.07           5.11           4.25           6.82           7.70           6.67           6.29           8.12           8.80           7.49           7.36           5.92           4.32           4.28           5.16           7.90           7.38           5.27           4.08           4.31           4.99           4.95           7.03           4.15           5.67           7.78
   149           4.99           5.12           4.15           6.92           7.77           6.85           6.24           8.14           8.81           7.72           7.33           5.91           4.33           4.30           5.27           8.09           7.28           5.28           4.25           4.16           4.95           5.11           6.93           4.01           5.85           7.79
   150           5.05           5.18           4.28           6.86           7.79           6.83           6.31           8.13           8.54           7.48           7.04           6.02           4.47           4.34           5.07           8.16           7.30           5.33           4.49           3.87           5.00           5.06           6.96           3.97           5.66           7.87
